	docid	src	tgt	score
0	C85D8036F799A544F1E9D53FF7052E3637ED5291	Un système est décrit dans cet article qui ajoute à la parole synthétique des effets d'émotions simulées.	A system is described which adds simulated emotion effects to synthetic speech.	0.82177734375
1	C85D8036F799A544F1E9D53FF7052E3637ED5291	Les paramêtres de contrôle d'un synthétiseur de parole sont contrôlés par des règles de facon à simuler les caractéristiques des émotions exprimées dans la voix humaine.	The control parameters of a speech synthesizer are controlled by rule in order to simulate the features of emotion expressed in the human voice.	0.80419921875
2	C85D8036F799A544F1E9D53FF7052E3637ED5291	Le système, qui simule six émotions vocales, a été testé sur les auditeurs naïfs.	The system can simulate six vocal emotions and was evaluated with naïve listeners.	0.75341796875
3	C85D8036F799A544F1E9D53FF7052E3637ED5291	Les résultats montrent que le système reproduit des émotions vocales reconnaissables avec un taux de perception égal à celui de recherches antérieures sur la parole “expressive”.	The results indicated that the system was producing recognizable vocal emotions, with perception rankings similar to those found by previous research on human emotional speech.	0.76123046875
4	C85D8036F799A544F1E9D53FF7052E3637ED5291	Ce système a été développé comme prothèse vocale pour les personnes muettes, mais on peut envisager son utilisation pour améliorer toute application de synthèse de parole par règles.	This system has been developed for use in voice prosthesis systems for non-vocal disabled persons, although it could be used to enhance any application which uses rule-based synthetic speech.	0.66259765625
5	A114CD2BE8269D51649715A67CF1CCBD162B7AB2	Cet article propose une présentation des systèmes de classeurs qui sont des outils destinés à l'apprentissage d'interactions.	This article concerns the presentation of classifiers systems built to learn interactions.	0.736328125
6	A114CD2BE8269D51649715A67CF1CCBD162B7AB2	Il en existe de nombreuses variantes qui sont présentées par le biais d'une approche chronologique introduisant les nouveaux défis ou concepts abordés par chaque modèle.	Different kinds of classifiers systems are presented, using a chronological approach introducing new challenges or concepts approached by every model.	0.69482421875
7	A114CD2BE8269D51649715A67CF1CCBD162B7AB2	Nous décrivons les concepts de base que sont les algorithmes génétiques et l'apprentissage par renforcement.	We describe used concepts : genetic algorithms and reinforcement learning.	0.734375
8	A114CD2BE8269D51649715A67CF1CCBD162B7AB2	L'article présente ensuite les systèmes de base tels que le ZCS ou le XCS, les systèmes à anticipation, ainsi que les classeurs hiérarchiques ou hétérogènes.	The article presents basics systems such as ZCS or XCS, systems for anticipation, as well as hierarchicals or heterogenous classifiers.	0.8134765625
9	1246F8179F24DC9CB3E26AB381279DDD9D4B6B71	Nous présentons une théorie de la reconstruction des croyances, intégrable au modèle de communication d'un agent, qui rend compte de la persistance et de la révision des croyances.	We present a theory of belief reconstruction to be embedded in an agent's communication model, which accounts for both belief persistence and revision.	0.84228515625
